id|onmlast|onmfirst|onmtitle|gender|dob|ssn|stline1|stline2|city|state|zipcode|phone|
rec-942-dup-1|streckfuss|lu e||f|19800 07|190550499|1 jeffery place||cue||02285|204 2489954|
rec-687-dup-0|scjum|liam|||19821124|965193746|65 melrose mes||eveleig|nsw|04113|612 1922463|
rec-407-dup-1|tsun g|caleb|mr|f|19911122|521068385|9 9 denny street||revesby||03677|708 8269368|
rec-310-dup-1|knight|annabelle|||19921207|785304430|193 fairley crescent||malmoe|q ld|03022|613 q458772|
rec-423-org|klein|timara|ms|f|19820108|532495732|42 ayers fowler street||middle ridge|qld|07320|613 2289853|
rec-641-org|pressley|holly||f|19850826|447324087|5 wilkins street||eastern view|vic|02845|618 9065014|
rec-1027-org|bruhn|ethan||f|19960218|675225887|50 loureiro street||sefton|nsw|03305|612 0182651|
rec-537-org|calado|||f|20090719|434453146|340 rodway street||harriet|qld|02320|613 7282578|
rec-811-dup-0|comaneci|tara|hon||20000322|865374921|14 kambalda crescent|wiluna|berr bank|vic|05245|618 748 043|
rec-393-dup-0|hirwani|shai|ms|v|19920212|693669021|20 nullagine street|betany|noorama|qld|06450|613 0416443|
rec-1006-org|tavukcu|patrick||f|19970602|602058861|91 lewis luxton avenue|kimberley|mccullys gap|nsw|04879|612 1495736|
rec-301-org|hsun|taylor-saige||f|19880301|194128936|60 kellick place||blackburn north|nsw|02230|612 1214942|
rec-607-org|kay|cameron|ms|m|19951218|645547434|47 duffy street|kingaroy garden|corowa|nsw|07015||
rec-96-dup-0|abbitt|dant|mr|m|19211008|565423492|33 meiklejohn plake|boonsville|tarcutta|nsw|02519|612 0749159|
rec-958-org|ashley|chloe||f|19871117|648172082|72 jackie howe crescent||wamoon|nsw|02617|708 9091894|
rec-193-org|scolastique|emiily||f|19860607|608816837|19 keys crescent||yallah|nsw|02604|612 4751048|
rec-173-dup-0|dwan|mikayla|||20011204|314313687|3 maygar street||cecilpl ains|qld|03041|613 0356239|
rec-855-org|scinto|kazuki|dr||19190401|884634649|3 wollongong street|brampton|milingimbi|nt|02914|613 2275430|
rec-993-org|fitzgerald|eva|dr|f|19920207|288117825|280 antill street||bluewater|qld|04207|613 1931510|
rec-40-dup-1|sempers|no h|pfc||19941221|877309116|7 de burgh street|sandalford homestead|midland|wa|02122|618 27 2020|
rec-126-dup-0|aarts|chloe|ms|||451253776|47 woolner circuit|oak glen|bedfordale|wa|05165|618 6959889|
rec-79-org|shahar|amy|mr|f|19910605|725748987|349 cassinia street|villa 444 the village glen|stonehaven|vic|02073|618 6000015|
rec-295-org|bray|aidan|hon|f|19950226|950845581|9 kitchener street|belgary|woodstock|qld|02074|613 3287161|
rec-422-org|mclaughlin|danika|pfc|f|19980511|315824954|1 ortloff place||budgewoi|nsw|03224|204 4946516|
rec-136-org|kenvin|solomon|||19820730|577111144|3 vonwiller crescent||engadine|nsw|06112||
rec-811-org|comaneci|tara|hon||20000322|865374921|14 kambalda crescent|wiluna|berrybank|vic|05245|618 7484043|
rec-892-dup-0|peltonen|cambell|mr|f|20080317|436821818|252 bardolph street|loc n 2565|arma dale|vic|03222|618 2554018|
rec-989-dup-1|hogarth|victoria|ms||19980607|328285753|14 evergood close|wybelanah|bayswater north|vic|02481|204 0735938|
rec-39-org|gunawan|hannah||f|19120716|919590162|4 turner place||mapleton|qld|02340||
rec-332-dup-0|posch er|jacqueline||f|19940702|468198667|2 totterdell street||kapunda|sa|02096|617 9564347|
rec-470-org|engl|alec|mr|f|19880809|588624105|177 denovan circuit|rosetta village|dundas valley|nsw|02283|612 6951487|
rec-420-dup-1|seaver|alexander||f|19150531|678789085|38 edwards street||thangool|qld|04740|613 1903384|
rec-13-org|white|kaitlin||f|19621106|736505477|54|unt 2|bimbimbie|nsw||612 3043661|
rec-311-org||jesse||f|19840816|445487113|11 kingsbury street||tullymorgan|nsw|04207|612 0115192|
rec-709-org|elizalde|jacob||f|20120623|162830231|31 allan street||hatfield|nsw|03116||
rec-477-dup-0|aakre|john|||19940205|875309490|65 la perouse street|ainslie house|broadbeac   aters|nsw|06152|612 1651393|
rec-919-org|hammerle|kylie|mr|f|19870109|328634016|33 torres street|riversdale caravan park|farrell flat|sa|02068|617 2902163|
rec-886-org|rishmal|abby||f|19780905|900400352|18 blanc court|euroka|wickham|wa|03585|618 9487999|
rec-873-dup-0|babcoccke|faithe|mrs|f|19950324|249233520|58 peakeplace|clintoncaravanpark|kallal|nsw|03148|6123104747|
rec-763-dup-0|fukmirica|sebastian|||20091116|264904199|12 martens crescent|banafie|cheshunt|vic|00810|618 9895172|
rec-292-org|pechsteinn|luka|ms|f|19750603|115271830|wilson crescent|highvale village|lockington|vic|03136|618 3917584|
rec-925-org|morchenko|thomas||f|19840116|802671606|184 baskerville street|spring creek|creswick||06056|204 4794592|
rec-106-org|zadran|elizabeth||f|19791020|376264332|4 castleton crescent|eagle springs|weetulta|sa|02478|204 1333898|
rec-196-org|singleton|marcus||m|19880430|590768126|125 devonport street|tricorne (cnr scone r road|kyneton|vic|03737|618 9715893|
rec-596-dup-0|boahzykowski|joseph||f||168018910|47 fewtrell place||forteskue|wa|04807||
rec-197-org|hani|madalyn|ms|f|19840517|255415623|29 byrne street||nyabing|wa|02840|618 1225980|
rec-484-org|travert|vinanti|pfc|f|20040619|256307666|11 togoplace|roskhill|rossmoyne|wa|02229|6184553523|
rec-633-org|rowntree|phillip||f|19850608|267638238|35 lane place||sussex inlet south||02065|416 5851884|
rec-59-dup-0|scjum|mackinley||m|20010820|568097555|1 kennerleystreet|frank jeffrey hostel|reidsdale|nsw|02530|612 8576587|
rec-97-dup-1|doolani|caleb|||19980310|836247166|48 kent street||ea o n|qld|02800|613 8479307|
rec-261-org|calderon|leah|mr|m|19870716|789839661|53|ellanbah|lowther|nsw|02298|612 9188906|
rec-472-org|okita|saskia||f|19380929|449799632|6 arrellah place||eltham|vic|06163|618 4855740|
rec-82-dup-0|booker|ta la||f|20070329|354397577|2 8 stuart street||eastern heights|nsw|04874|612 9787104|
rec-211-dup-0|preskott|thomast|ms|m|19940311|796537097|36 max henry crescent||chittaway bay|nsw|03185|612 1925167|
rec-372-dup-0|rojas|emma|mr||19870213|355665455|3 pokana circuit|adare stock route road|munster|nsw|02195|612 7621110|
rec-415-org|leelani?|joel||f|19841129|669052732|43 ashkanasy crescent||st andrews beach|vic|02065|618 8272381|
rec-7-dup-0|strahq|francesco||m|19220622|424214278|39 merv waite street||molangul|qld|06062|708 6417821|
rec-441-dup-0|khamidouline|saara|mrs|f||259907355|2 gilbert street|cameroo|monkland|qld|03912|613 2506747|
rec-212-org|kripak|brodee||f|19971018|166693479|141 mcinnes street|brokenspoke|aylmerton|nsw|03280|612 8903018|
rec-552-dup-1|abbondandola|karolynn|ms|f|19920115|330065307|6 makkellaahcrescent|theslipway|anakie|vic|04030|6189115819|
rec-628-dup-0|strapp|ebony||f|19931011|898972965|26 barnard circuit||moura|qld|03925|613 28 22803|
rec-757-org|esmaeili|aidan|||19910914|612418039|16 atherton street||deagon|qld|02226|613 9806080|
rec-511-dup-0|rivers|lewis|ms|m|19970402|171146215|1 fincham crescent||mount observation|wa|03929|618 9344269|
rec-178-org|streckfuss|drew||m|19940707|707634361|125 captain cook crescent|willaroo|lindenow south|vic|03977|618 1542809|
rec-450-dup-1|cristianson|tristan|||20010830|835050682|37 florence tay lor street||balm in|nsw|07321||
rec-555-org|sparks|darcy|||19860107|523113716|6 anthony rolfe street||stratford|qld|03941|613 6474396|
rec-11-dup-0|felusamy|eldon||f|20010604|671518080|4 wybalena grove||lakemba|vic|03219|618 5140338|
rec-828-dup-1|lucas|james||c|19920606|912556751|394 buller crescent||hastings point|nsw|03135|612 3943175|
rec-911-org|tou|charlotte|ms|m|19891210|354844262|2 clive steele avenue|headland cvn park|hyde park|sa|03072|617 9857449|
rec-158-org|salim|andra|mr|m|19860831|250439567|5 millerstreet|eastwoodcottage|eaglemont|vic|04171|6181881291|
rec-186-org|guao|jasmine||f|19911103|894986785|7 jennings street||woolooga|qld|05321|613 3618456|
rec-398-org|treffgarne|michaela|ms|f|19931123|495706470|56 hamblin place|glenora farm|vaucluse||06798|708 4729131|
rec-582-dup-0|hendry|lily||f|19980115|162166936|16 burkitt street||law courts|vic|03429|618 0806781|
rec-631-dup-0|logan|holly|ms|f|19781028|375416189|00 namadgi circuit|||vic|02035|618 9419750|
rec-629-org|mak|mitchell||m|20000818|925431511|16 davidson street||brooweena|nsw|02650|612 3723718|
rec-770-dup-0|brinley|hilton||f|19870203|543762247|371 lappin place||helensburgh|nsw|04132|612 4452893|
rec-439-org|streich|bridget|ms|f|19960616|530694346|ingamells street|llangollen|wondecla|qld|03130|708 0731133|
rec-285-dup-0|fitzgerald|hilliard|mr|m|20|40526|291519992|18 3 hawkesburycrescent|loormeahpark|traralgon|vic|03021|6180623088|
rec-307-org|mark|jack||f|19860930|402558613|7 longmore crescent|true rise|yatala vale|sa|06112|617 7140967|
rec-432-dup-0|clawson|jochebed|mrs|f|19920524|72034815|8 crjspcircuit|stfrancisvlge|lordhoweisland|nsw|04680|6129958341|
rec-994-dup-1|snelling|charlie|mr||19880217|5473 3 0204|167 dexter street|rowethorpe|homebush|vic|05158|618 2929807|
rec-400-dup-0|hag e|gemaley|dr|f|19910812|682039523|24 harfordstreet||st ives||02166|416 1599784|
rec-371-dup-1|ckay|mickaela|mr|m|19800301|485391977|6 olympus way||adamstown||04650|708 0262159|
rec-768-dup-1|morrish|lily||f|19886018|671321432|11|concept|port hacking|nsw|03125|612 7514205|
rec-891-org|sciacca|sarah||f|19821213|400763583|209 broadsmith street||tumblong|nsw|02121|612 2227343|
rec-716-dup-1|hishikawa|peta||f|19860503|933735397|32 state circle||bargo|n w|0216|708 7558931|
rec-624-dup-0|ibbott||ms|f||495102203|48 national circuit||oombabeer|qld|02 9 2|613 4124781|
rec-399-dup-0|sye|dean||f|19950810|132311046|18 buntine ceescent|brentwood vlge|lyonville|vic|02088|618 7936904|
rec-838-dup-1|ly|lici|mr|m|20110729|850081004|9 pohlmansdreet|kimberley|redhill|vic|03737|2042143799|
rec-460-org|pudjijono|april||f|19820618|199628966|65 chevalley loop||yattalunga|nsw|02580|612 3652126|
rec-594-dup-0|orga|asha|mr|f|19350522|890442775|24 kirkwoodcrescent||safety bay|wa|04 06|618 7985173|
rec-966-dup-0|saylor|joel||||770825655|14 archdall street||taroomball|qld|03350|613 7836034|
rec-368-org|strapp|michelle||f|19901111|486114870|34 hickenbotham street||busby|qld|02913|613 1999945|
rec-132-org|coupe|arabella||f||482609868|5 kellermann close|biggin hill|elwood|vic|06151|618 5809593|
rec-182-org|lott|kylie|ms|f|19890130|861689594|30 bissenberger crescent||sunnyside||02484|204 2440724|
rec-814-dup-0|godfrey||ms|f|20141219|371352588|45 oxley street|headlandcvn park|east inn isfail||02065|416 7304136|
rec-96-org|abbitt|dante|mr|m|19211008|565423492|33 meiklejohn place|boonsville|tarcutta|nsw|02519|612 0749159|
rec-74-dup-0|koyanagi|jackson||f|19851112|842791811|46 springvale drive||cromer|nsw|02207|612 1590374|
rec-588-dup-0|jeffers|dominic||||966410291|40 dinesplace|winchester|maco na|vic|02077|708 5012729|
rec-33-org|gardner|mitchell|dr|f|19820724|386673401|53 degraves crescent||clarendon|nsw|02305|612 5602372|
rec-614-org|curry|charlotte||f|19880706|301782180|82 churchill way||devonport|tas|06160|617 8372178|
rec-575-dup-0|hsueh|jade|ms|f|19270616|637664407|12 skirving place||bellara|qld|05141|613 5013255|
rec-666-dup-0|vasic|daniel||f|19900805|978309654|17 groom street|gunadale|coominglah|qld|03442|613 424 552|
rec-213-dup-0|stratou|soe|hon||19880722|544731103|227 gleadow sttreet||south melbourne|vic|02460|618 7771738|
rec-336-org|abbitt|sarojini|ms|f|19910705|264902278|3 sheehanstreet|trellech|bolton|vic|03085|6188709419|
rec-552-org|abbondandola|karolynn|ms|f|19920115|330065307|6 mackellarcrescent|theslipway|anakie|vic|04030|6189115819|
rec-56-dup-0|arden|harrison||f|19900828|419073337|44 conder street|st francis vlge|doondahra|qld|05097|613 7234502|
rec-367-org|razia|zarlia|mr||19890210|210862540|1 maxworthy street||fishing point|nsw|02193||
rec-619-org|white|erin|||19900825|680393081|180||backmede|nsw|06084|612 8490270|
rec-676-dup-0|aaberg|||m|19840505|507633202|14 bouchard place||mont a bert|vic|03041|416 3586185|
rec-289-org|gore|ashtoreth|pfc|f|20150709|805563123|85 cradleclose|masonicmemorialvillage|kilcunda|vic|02560|6181805100|
rec-142-dup-0|radul|arren|mr|f|19320928|962177217|81 william hudson crescent|fred lane hostel|daw park|wa|02192|617 8321757|
rec-959-org|copeland|alexandra|hon|f|19940706|142812155|6 lewis luxton avenue||blackbutt||04730|204 0167925|
rec-36-org|aakre|dagma|ms|f|20190526|933287426|27 hamplace|rowethorpe|toowong|vic|03034|6189709099|
rec-1040-org|campbell|hollie||f|19930713|907989213|8 longworth place|buderim private hsptl diagnostic centre|fitzroy north|vic|02575|618 6229004|
rec-276-dup-0|jarryd|benjamin|ms|f|19960310|8319 3961|67 boult place||upwey|sa|03215|708 5125933|
rec-595-dup-1|gon ales|jai|ms|f|19701114|645061160|5 chisholm  treet||sunshine||02170|204 6894231|
rec-902-dup-1|sdrap|peter|mr|f|20080405|328103472|21 kangaroo court||diddillibah|qld|02440|613 1559043|
rec-843-org|lam|reuben||f|19850403|467091363|10|pine hill|redhead||03025|204 9756105|
rec-75-dup-0|greif|zortan|ms||19970817|231812195|174 spica street|murray glen lodge|burragate|nsw|06714|612 0222462|
rec-815-dup-0|mckenna||mr|f|19820520|117329227|1049 audas place||highton|qld|03193||
rec-708-org|haward|tahlia|||19940722|679085561|15 fornax street|newland park|hamlyn terrace|nsw|00820|612 7471782|
rec-425-org|trisanu|samantha||f|19910324|690551362|75 mount vernon drive||owens gap|nsw|03134|612 8132466|
rec-488-org|yunipingu|alia||f|19881007|578579633|16 wattle street||cooks hill||02046|416 4260257|
rec-104-dup-0|strazari|oakleigh|||19921221|706652363|9 mcginness street||napier|wa|04815|618 0668386|
rec-151-dup-0|abbatista|jake|dr|f|20080617|736703827|60 bannister garden||bendoc|vic|03037|618 6875545|
rec-989-org|hogarth|victoria|ms||19980607|328285753|14 evergood close|wybelanah|bayswater north|vic|02481|618 4761577|
rec-17-dup-1|uemura|carlotte||v|20100828|711445386|36 sidaway street|piringa|gulargambone|nsw|03551|612 2890168|
rec-258-dup-0|berzevicky|madeleine|ms||19980519|617926021|80 wuruma plake|summer hill|hwthorn||06501|416 2730252|
rec-820-dup-1|klaahke||mr|f|19811017|476987060|57 william webb drive|wandana|oakville||03204|416 4434335|
rec-169-org|sangster|max||f|20120809|881099954|7 brash place||carlingford||04165|204 4807566|
rec-767-dup-0|berne|lilian||f|19991915|705379013|4||farnham|nsw|03875|612 0204328|
rec-689-org|wilcox|tylah|dr|f|19940313|966037631|6 echo place||landsdale|qld|02217|613 5938321|
rec-852-dup-0|burzic|isabella|hon|m|199707 8|587909735|9 marlock street||loira|tas|0335|204 5628559|
rec-876-dup-1|bristow|shakira|ms|rn|19920208|240375664|1 endeavour street|the meadows|scone|nsw|03151|612 5509883|
rec-551-org|joutsela|ethan|dr|f|19910709|750270549|95 o'shanassy street|attadandoo|toorak||02011|204 8142542|
rec-636-org|vaithu|ajay|mr|f|19870411|612998780||the manor garden|karratha|sa|04215|617 0707014|
rec-307-dup-0|mark|jack||f|19860930|402558613|7 longmore crescent|true rise|yatala vale|sa|06112|617 7184967|
rec-446-org|yin|ethan||f|19130330|948678585|42 maltby circuit||yathroo|wa|03337|618 1332555|
rec-960-dup-0|dotani|thomas|||19920722|627717756|6 beasley street|larra p ines|bathur t|nsw|02340|612 3007526|
rec-299-org|preecha|tara||m|19360624|449285647|19 shumack street|kingway tourist park|quinninup|wa|02583||
rec-968-dup-1|isaacson|tahlia||f|19960205|1611737 0|26 port jackson circuit|sherwood|san remo|nsw|031 75|612 5480803|
rec-235-dup-0|talevic|laxlan|ms|f|19650207|562720010|17 twamley crescent||oatlands||04102|204 1500394|
rec-604-dup-0|surin|bailey||f|19250729|806827248|q gurrang avenue||vasa v iews|qld|04573|613 0836989|
rec-489-org|nebhrajani|tenille|pfc|f|19951025|656074340|15 miller street||loch|vic|04558|618 8773501|
rec-194-dup-1|scime|sara|ms|f|20000106|532786631|7||dooen|vic|02088|618 4209855|
rec-324-org|whittemore|jackson||f|19371120|317047675|17 groom street|the mount|north sydney||06151|204 9803035|
rec-808-dup-0|wilkinson|gus|mr|m|20190403|917325510|50 philli pavenue|chelvy|mansfield|vic|0616|6181286054|
rec-690-org|davison|laklynn|ms|f|19880824|771500762|6 paul coe crescent||tweed heads south||04350|416 0175227|
rec-92-org|hryniv|bianca||f||943731657|9||culgoa|vic|02445|618 9620318|
rec-175-org|karaosmanglu|kody|ms|f|19880324|498184487|633 anembo street|banksia village|malvern east|vic|04703|618 3522149|
rec-232-org|shahani|amy||m|19880906|110360216|8 feint street||merricks beach|vic|02460|618 2123947|
rec-98-dup-0|sciacca|praiten|ms|f||732793483|24 martens crescent||pallarenda|qld||613 1554865|
rec-342-dup-0|scinto|chloe||m|20010607|53198 830|24 muir cl se|kalamos|sunbury|vic|03934|618 8982657|
rec-1011-org|badcocke|alisa||f|19250814|437422460|30 crowley court||allambie heights|wa|03136|618 9293933|
rec-353-org||elysse||f|19991216|566910665|103||winthrop|wa|03022|618 7144233|
rec-659-org|atkinson|tristan|||20000202|504620024|115 sellwood street|camusfearna|keilor downs|vic|07005|618 1324737|
rec-101-org|raisinghani|lauren|dr|f|19010131|495079632|267 noakes court|karingal hm|wanneroo||04610|204 9505117|
rec-125-org|spears|james|||20001031|643639203|145 augustus close||fishery falls|qld|02753|613 1958373|
rec-53-dup-0|tapai|sophie|mr|f|20091126|876441869|8|teasdale park|sandhurst east|vic|02109|618 2682345|
rec-998-org|engl|willibald|mr|m|20120518|465742313|177 denovancircuit|rosettavillage|dundasvalley|nsw|02283|6126951487|
rec-254-dup-0|pokoj|mitchell||f|19960604|786872818|3 8 derham c ourt|hamilton park|tincurrin|wa|04701||
rec-180-dup-1|suljic|||m|19141127|588927647|56 arnhem lace||framlingham|vic|04350|618 0415252|
rec-358-org|abbetmeyer|dimitri|mr|f|19960529|865608576|50 dumas street||wutul|qld|02282|613 5623412|
rec-128-org|christianson|chloe||m|19910623|964886962|18 mackenzie street||treeton|wa|03020|618 0428268|
rec-352-org|herber|connor|||19651211|104499783|30 goyder street||sextonville|nsw|03186|612 3265904|
rec-252-dup-0|malenfant|sam||f|19970525|979476910|181 ferguson circuit|glenumbral|ascot vale||05238|416 3923910|
rec-145-dup-1|dur an|cheryle|ms|f|19890622|2775 25867|192 stapyltonstreet|churingal|greenway|act|02480|7087727184|
rec-609-dup-0|lalit|bro dee||f|19891203|385097105|63 grounds crescent||devon park|sa|04123|617 5464699|
rec-673-org|harral|elisha||f|19850410|914117735|26 arabana street||badgerin rock|wa|03160|618 3654471|
rec-767-dup-1|bere|lilian|||19871111|705379013|4||farnham|nsw|03875|612 0204328|
rec-372-org|rojas|emma|mr||19870213|355665455|34 pokana circuit|adare stock route road|munster|nsw|02195|612 7621110|
rec-432-dup-1|clawson|jochebed|mrs|f|19920524|720348151|8 crispcir cuit|stfrancisvlge|lordhoweisland|nsw|0468|6129958341|
rec-291-org|scogin|alyssa|ms||19860818|736335886|2 gallagher street|texas station|wombarra|nsw|00836|612 9209733|
rec-269-dup-0|genovelis|ashlie||f|19230428|669763552|5 l longmore crescent|polynesian village|sherlock|wa|02075|618 2630001|
rec-908-dup-1|reeham|takeisha|mr|a|19921009|147321724|7 gleadow street||kingston on murray|sa|02500|617 9934616|
rec-213-dup-1|stratou|soe|hon||19880722|544731103|227 gleadow street||zouth melbourne|vic|02460|618 7771738|
rec-647-org|contreras|daniel|||19971209|214111189|45 victoria street||almurta|vic|03040|618 3081795|
rec-283-org|sarika|grace||m|19900210|336859412|7 miles place||puckapunyal milpo|vic|03145|618 2214727|
rec-587-org|scolastique|emma|dr|f|19930401|825349537|6 mackellar crescent|the slipway|anakie|vic|04030|618 9115819|
rec-910-org|moussavou|lewis|mr|f|19920309|411299819|25 le hunte street||dundas valley|nsw|03216|612 3887594|
rec-980-org|gerryts|peter|||19930721|448560953|110 mileham street||cooma|nsw|02615|612 9431688|
rec-102-org|ana|olivia||f|19920426|590419398|6 collier street||st clair||03139|708 5528417|
rec-723-org|halmai|hugo|ms|m|19970820|524259374|7||wylie creek|nsw|06018|612 1194891|
rec-52-org|mottershead|mia||f|19420114|939028702|80 armytage circuit||stratford|vic|04670|618 4481310|
rec-229-dup-0|kshessinska|luke||f|19860801|515584256|365 degraves crescent||sunny corner|nsw|03204|612 2532198|
rec-424-dup-0|glas s|laklynn||f||404257154|38||acacia plateau|nsw|06014|612 3638845|
rec-1020-org|sclater|patrick||f|19890328|556460341|1 howitt street|bellhaven estate|stanhope|vic|06056|618 2411029|
rec-412-org|statham|connor||f|19910928|229712145|8|belvoir|shoalhaven heads|nsw|04720||
rec-962-org|abbondandola|jasmine|dr|f||971174833|8 symers street||alsace|qld|02043|613 6968216|
rec-157-org|roex|liam||f|19880114|810887114|200 john russell circuit||hawkins creek|qld|03942|613 5359974|
rec-713-org|seymour|kylee||f|19171001|750310493|2 starke street|rosehill|warburton|vic|02575|618 4726797|
rec-442-org|scorsone|jack||||650941329|65 cullen street||ferny creek|vic|04053|618 9849855|
rec-276-org|jarryd|benjamin|ms|f|19960310|831963961|67 boult place||upwey|sa|03215|708 5125933|
rec-730-org|hancock|katelyn|ms|f|19850130|488526401|6 hilder street|koobeja|muckleford|vic|02145|618 0835214|
rec-963-org|styles|nicholas|mr|f|19981217|629417016|71 herington street||east maitland|nsw|02756|612 3009276|
rec-690-dup-1|davison|lakl nn|m5|f|19880824|771500762|6 paul coe crescent||tweed heads south||04350|416 0175227|
rec-809-dup-0|wilkinson|godfrey|mr|m|20180818|186137739|59 phillipavenue|chelvy|mansfield|vic|06169|6181268054|
rec-163-org|dyer|jake||f||681240463|9 clive steele avenue||glenwood|qld|03103|613 5925847|
rec-696-org|worosun|sam||f|19830605|316500260|56 gilmore crescent||northgate|qld|02210|613 1957359|
rec-790-dup-1|christenson|kaleb|ms|f|20111102|508704105|88 majura avenue||proome|vic|03793|708 2894858|
rec-751-org|maldonado|jesse||f|19940131|193627226|61 clamp place||yetman|nsw|02448|612 7721069|
rec-32-dup-0||arabella|||19890921|985780936|569 hodgson crescent||sdanhope|njw|03138|612 2460007|
rec-94-dup-0|spence|lily|ms|m||478749424|25 discovery street|two tree hill|guildford|nsw|o3340|612 10 84336|
rec-931-dup-1|christwisen|callum|ms|f|19860824|442306988|47 gunyan place||mullengudgery|nsw|05653|204 8669887|
rec-960-org|dotani|thomas|||19920722|627717756|6 beasley street|larra pines|bathurst|nsw|02340|612 3007526|
rec-596-org|borzykowski|joseph||f||168018910|47 fewtrell place||fortescue|wa|04807||
rec-688-dup-1|watson|abbey|ms|f||372714 31|20 parsons s treet||lower longley|tas|02264|617 5681327|
