rec_id, rec2_id, culture, sex, age, date_of_birth, title, given_name, surname, state, suburb, postcode, street_number, address_1, address_2, phone_number, soc_sec_id, blocking_number, family_role
rec-578-dup-1, rec-628-org, unk, f, 38, 19820727, , gianni, straw, vic, macclesfield, 03044, 1 , jindivi k place, , 618 0104507, 542114455, 6, NoRole
rec-790-org,   rec-790-org, eng, f, 9, 20111102, ms, caleb, christenson, vic, broome, 03793, 88, majura avenue, , 708 2894858, 508704105, 6, NoRole
rec-563-org,   rec-652-org, chi, , , 19600401, , katelyn, jo, qld, cobbs hill, 02346, 46, tom roberts avenue, , 613 7241007, 335307439, 0, NoRole
rec-766-dup-0, rec-509-org, unk, m, 27, 19930316, dr, ale, zchwanke, qld, boyne valley, 03169, 2, shannon circuit, , 613 5588338, 656711020, 3, NoRole
rec-223-org,   rec-739-org, eng, f, 25, 19950331, ms, molly, mackenzie, qld, kandanga creek, 06065, 425, william hudson crescent, , 613 3418422, 412870243, 9, NoRole
rec-532-dup-0, rec-3-org, ind, f, 3 , 19860113, , lachlan, nidhi, nsw, kem psey, 04557, 88, mura close, , 612 0985949, 190511842, 0, NoRole
rec-19-org,   rec-98-org, unk, , 33, 19871202, dr, mackenzi, strawbridge, , north haven, 04871, 93, apsley place, , 708 0860567, 376982822, 7, NoRole
rec-684-org,   rec-285-org, eng, f, , 19120821, , hamish, oakley, vic, vermont, 03840, 2, dunstan street, , 618 0893615, 727856097, 0, NoRole
rec-139-dup-0, rec-390-org, eng, , 36, 19840924, ms, chelsea, robert, qld, oolmeah, 04614, 20, cadell street, apple cottage, 613 5261468, 247606307, 3, NoRole
rec-111-org,   rec-99-org, iri, , 25, 19950729, ms, chelsea, mallon, vic, katunga, 02652, 10, livingston avenue, , 618 9758173, 556141918, 9, NoRole
rec-479-dup-0, rec-749-org, usa, f, 35, 19850117, ms, mitchell, poell, vic, franxton south, 03023, 106, darcy close, , 708 5920316, 622229503, 8, NoRole
rec-578-org,   rec-628-org, unk, f, 38, 19820727, , gianni, straw, vic, macclesfield, 03044, 12, jindivik place, , 618 0104507, 542114455, 6, NoRole
rec-846-dup-1, rec-487-org, eng, m, 29, 19910930, , thomas, sempers, vic, hotham hill, 03051, 32, tewksburycircuit, clonturkle, 618 9185599, 754826 563, 5, NoRole
rec-1036-org,   rec-58-org, unk, f, 31, 19890220, mrs, joshua, aakre, vic, toowong, 03034, 27, ham place, rowethorpe, 618 9709099, 315836962, 7, Org-wife
rec-599-org,   rec-586-org, ser, f, 34, 19860813, , samantha, ramic, sa, roseworthy, 04741, 5, macalister crescent, mountainside, 617 5485955, 969016016, 8, NoRole
rec-557-org,   rec-239-org, ina, f, , 19510809, ms, emiily, budiman, , toorak, 04744, 2, mcshane place, , 416 5999980, 247727798, 0, NoRole
rec-145-dup-0, rec-573-org_h-0, usa, f, 31, 19890622, ms, cheryle, duran, act, 9reenway, 02480, 192, stapyltonstreet, churingal , 7087727184, 277525 67, 1, NoRole
rec-85-dup-1, rec-530-org, usa, f, , 19981206, , sophie, jo eph, vic, waitchie, , 4, mugga  ane, , 618 3918905, 850130681, 3, NoRole
rec-118-org,   rec-885-org, unk, m, 32, 19880307, , matthew, strawbridge, nsw, willawarrin, 05052, 14, chinner crescent, st francis vlge, 612 2711837, 908098759, 9, NoRole
rec-110-org,   rec-158-org, unk, , 28, 19921102, , jordan, scogin, nsw, narrabeen, 02281, 23, ferguson place, , 612 7949755, 654452494, 8, NoRole
rec-451-dup-0, rec-978-org, eng, f, 25, 19951217, , charli, merricks, ja, pinkerton plains, 02170, 117, coppin place, , 617 8216285, 262565346, 2, NoRole
rec-464-dup-0, rec-230-org, wel, f, 24, 19960405, mr, jade, rowlands, nsw, gunneda, 02135, 4, de gillern place, ashkrove farms, 612 5421225, 831839042, 1, NoRole
rec-215-dup-0, rec-569-org, rom, f, 10, , , , amanar, , pearce, 03888, 380, davis street, , 708 0797828, 224382462, 0, NoRole
rec-408-org,   rec-801-org, gre, , 27, 19930719, ms, kai, theodorakis, qld, laidley, 02143, 139, cripps place, greenacres caravan park, 613 4589152, 971125144, 5, NoRole
rec-147-dup-0, rec-834-org, ind, f, 27, 19930620, , lewis, thundayal, vic, strattale, 04703, 278, gaby place, , 618 8325325, 223972204, 3, NoRole
rec-192-org,   rec-870-org, pak, m, , 19200829, ms, charlotte, hot, qld, lockyer, 05108, 112, southwood retreat, , 613 7807971, 558344743, 9, NoRole
rec-396-dup-0, rec-434-org, cze, m, 12, 2008 0721, , christian, plichta, nsw, brighton-le-sands, 02615, 75, parkhill 5treet, milly milly, 612 4109310, 472060896, 2, NoRole
rec-942-dup-1, rec-989-org, unk, f, 40, 19800 07, , lu e, streckfuss, , cue, 02285, 1, jeffery place, , 204 2489954, 190550499, 5, NoRole
rec-687-dup-0, rec-697-org, unk, , 38, 19821124, , liam, scjum, nsw, eveleig, 04113, 65, melrose mes, , 612 1922463, 965193746, 8, NoRole
rec-407-dup-1, rec-911-org, chi, f, 29, 19911122, mr, caleb, tsun g, , revesby, 03677, 9 9, denny street, , 708 8269368, 521068385, 2, NoRole
rec-310-dup-1, rec-138-org, usa, , 28, 19921207, , annabelle, knight, q ld, malmoe, 03022, 193, fairley crescent, , 613 q458772, 785304430, 9, NoRole
rec-423-org,   rec-863-org, usa, f, 38, 19820108, ms, timara, klein, qld, middle ridge, 07320, 42, ayers fowler street, , 613 2289853, 532495732, 3, NoRole
rec-641-org,   rec-745-org, eng, f, 35, 19850826, , holly, pressley, vic, eastern view, 02845, 5, wilkins street, , 618 9065014, 447324087, 6, NoRole
rec-1027-org,   rec-901-org, , f, 24, 19960218, , ethan, bruhn, nsw, sefton, 03305, 50, loureiro street, , 612 0182651, 675225887, 7, NoRole
rec-537-org,   rec-914-org, por, f, 11, 20090719, , , calado, qld, harriet, 02320, 340, rodway street, , 613 7282578, 434453146, 5, NoRole
rec-811-dup-0, rec-897-org, rom, , 20, 20000322, hon, tara, comaneci, vic, berr bank, 05245, 14, kambalda crescent, wiluna, 618 748 043, 865374921, 4, NoRole
rec-393-dup-0, rec-1-org, ind, v, 28, 19920212, ms, shai, hirwani, qld, noorama, 06450, 20, nullagine street, betany, 613 0416443, 693669021, 4, NoRole
rec-1006-org,   rec-788-org, tur, f, 23, 19970602, , patrick, tavukcu, nsw, mccullys gap, 04879, 91, lewis luxton avenue, kimberley, 612 1495736, 602058861, 3, NoRole
rec-301-org,   rec-771-org, chi, f, 32, 19880301, , taylor-saige, hsun, nsw, blackburn north, 02230, 60, kellick place, , 612 1214942, 194128936, 8, NoRole
rec-607-org,   rec-322-org, eng, m, 25, 19951218, ms, cameron, kay, nsw, corowa, 07015, 47, duffy street, kingaroy garden, , 645547434, 2, NoRole
rec-96-dup-0, rec-379-org, unk, m, , 19211008, mr, dant, abbitt, nsw, tarcutta, 02519, 33, meiklejohn plake, boonsville, 612 0749159, 565423492, 1, NoRole
rec-958-org,   rec-407-org, usa, f, 33, 19871117, , chloe, ashley, nsw, wamoon, 02617, 72, jackie howe crescent, , 708 9091894, 648172082, 9, NoRole
rec-193-org,   rec-32-org, unk, f, 34, 19860607, , emiily, scolastique, nsw, yallah, 02604, 19, keys crescent, , 612 4751048, 608816837, 6, NoRole
rec-173-dup-0, rec-856-org, chi, , 19, 20011204, , mikayla, dwan, qld, cecilpl ains, 03041, 3, maygar street, , 613 0356239, 314313687, 9, NoRole
rec-855-org,   rec-24-org, unk, , , 19190401, dr, kazuki, scinto, nt, milingimbi, 02914, 3, wollongong street, brampton, 613 2275430, 884634649, 9, NoRole
rec-993-org,   rec-972-org, usa, f, 28, 19920207, dr, eva, fitzgerald, qld, bluewater, 04207, 280, antill street, , 613 1931510, 288117825, 7, NoRole
rec-40-dup-1, rec-402-org, eng, , 26, 19941221, pfc, no h, sempers, wa, midland, 02122, 7, de burgh street, sandalford homestead, 618 27 2020, 877309116, 6, NoRole
rec-126-dup-0, rec-594-org, unk, , 34, , ms, chloe, aarts, wa, bedfordale, 05165, 47, woolner circuit, oak glen, 618 6959889, 451253776, 4, NoRole
rec-79-org,   rec-208-org, jew, f, 29, 19910605, mr, amy, shahar, vic, stonehaven, 02073, 349, cassinia street, villa 444 the village glen, 618 6000015, 725748987, 0, Org-wife
rec-295-org,   rec-940-org, usa, f, 25, 19950226, hon, aidan, bray, qld, woodstock, 02074, 9, kitchener street, belgary, 613 3287161, 950845581, 3, NoRole
rec-422-org,   rec-77-org, usa, f, 22, 19980511, pfc, danika, mclaughlin, nsw, budgewoi, 03224, 1, ortloff place, , 204 4946516, 315824954, 9, NoRole
rec-136-org,   rec-773-org, wel, , 38, 19820730, , solomon, kenvin, nsw, engadine, 06112, 3, vonwiller crescent, , , 577111144, 7, NoRole
rec-811-org,   rec-897-org, rom, , 20, 20000322, hon, tara, comaneci, vic, berrybank, 05245, 14, kambalda crescent, wiluna, 618 7484043, 865374921, 4, NoRole
rec-892-dup-0, rec-516-org, fin, f, 12, 20080317, mr, cambell, peltonen, vic, arma dale, 03222, 252, bardolph street, loc n 2565, 618 2554018, 436821818, 8, NoRole
rec-989-dup-1, rec-612-org, eng, , 22, 19980607, ms, victoria, hogarth, vic, bayswater north, 02481, 14, evergood close, wybelanah, 204 0735938, 328285753, 0, NoRole
rec-39-org,   rec-496-org, ina, f, , 19120716, , hannah, gunawan, qld, mapleton, 02340, 4, turner place, , , 919590162, 3, NoRole
rec-332-dup-0, rec-545-org, ger, f, 26, 19940702, , jacqueline, posch er, sa, kapunda, 02096, 2 , totterdell street, , 617 9564347, 468198667, 7, NoRole
rec-470-org,   rec-214-org, ger, f, 32, 19880809, mr, alec, engl, nsw, dundas valley, 02283, 177, denovan circuit, rosetta village, 612 6951487, 588624105, 8, Org-wife
rec-420-dup-1, rec-440-org, eng, f, , 19150531, , alexander, seaver, qld, thangool, 04740, 38, edwards street, , 613 1903384, 678789085, 1, NoRole
rec-13-org,   rec-374-org, , f, , 19621106, , kaitlin, white, nsw, bimbimbie, , 54, , unt 2, 612 3043661, 736505477, 0, NoRole
rec-311-org,   rec-705-org, ind, f, 36, 19840816, , jesse, , nsw, tullymorgan, 04207, 11, kingsbury street, , 612 0115192, 445487113, 7, NoRole
rec-709-org,   rec-754-org, por, f, 8, 20120623, , jacob, elizalde, nsw, hatfield, 03116, 31, allan street, , , 162830231, 2, NoRole
rec-477-dup-0, rec-680-org, unk, , 26, 19940205, , john, aakre, nsw, broadbeac   aters, 06152, 65, la perouse street, ainslie house, 612 1651393, 875309490, 5, NoRole
rec-919-org,   rec-488-org, ger, f, 33, 19870109, mr, kylie, hammerle, sa, farrell flat, 02068, 33, torres street, riversdale caravan park, 617 2902163, 328634016, 4, NoRole
rec-886-org,   rec-7-org, ind, f, 42, 19780905, , abby, rishmal, wa, wickham, 03585, 18, blanc court, euroka, 618 9487999, 900400352, 1, NoRole
rec-873-dup-0, rec-534-org_h-0, eng, f, 25, 19950324 , mrs , faithe, babcoccke, nsw, kallal, 03148, 58, peakeplace, clintoncaravanpark, 6123104747, 249233520, 7, NoRole
rec-763-dup-0, rec-92-org, ser, , 11, 20091116, , sebastian, fukmirica, vic, cheshunt, 00810, 12, martens crescent, banafie, 618 9895172, 264904199, 3, NoRole
rec-292-org,   rec-75-org, ger, f, , 19750603, ms, luka, pechsteinn, vic, lockington, 03136, , wilson crescent, highvale village, 618 3917584, 115271830, 4, NoRole
rec-925-org,   rec-713-org, rus, f, 36, 19840116, , thomas, morchenko, , creswick, 06056, 184, baskerville street, spring creek, 204 4794592, 802671606, 3, NoRole
rec-106-org,   rec-615-org, afg, f, , 19791020, , elizabeth, zadran, sa, weetulta, 02478, 4, castleton crescent, eagle springs, 204 1333898, 376264332, 5, NoRole
rec-196-org,   rec-447-org, usa, m, 32, 19880430, , marcus, singleton, vic, kyneton, 03737, 125, devonport street, tricorne (cnr scone r road, 618 9715893, 590768126, 9, NoRole
rec-596-dup-0, rec-851-org, pol, f, 23, , , joseph, boahzykowski, wa, forteskue, 04807, 47, fewtrell place, , , 168018910, 1, NoRole
rec-197-org,   rec-976-org, afg, f, 36, 19840517, ms, madalyn, hani, wa, nyabing, 02840, 29, byrne street, , 618 1225980, 255415623, 9, NoRole
rec-484-org,   rec-835-org_h-1, fre, f, 16 , 20040619, pfc, vinanti, travert, wa, rossmoyne, 02229, 11, togoplace, roskhill , 6184553523, 256307666, 5, NoRole
rec-633-org,   rec-405-org, eng, f, 35, 19850608, , phillip, rowntree, , sussex inlet south, 02065, 35, lane place, , 416 5851884, 267638238, 1, NoRole
rec-59-dup-0, rec-722-org, unk, m, 19, 20010820, , mackinley, scjum, nsw, reidsdale, 02530, 1 , kennerleystreet, frank jeffrey hostel, 612 8576587, 568097555, 9, NoRole
rec-97-dup-1, rec-410-org, ind, , 22, 19980310, , caleb, doolani, qld, ea o n, 02800, 48, kent street, , 613 8479307, 836247166, 5, NoRole
rec-261-org,   rec-843-org, usa, m, 33, 19870716, mr, leah, calderon, nsw, lowther, 02298, 53, , ellanbah, 612 9188906, 789839661, 7, NoRole
rec-472-org,   rec-778-org, jap, f, , 19380929, , saskia, okita, vic, eltham, 06163, 6, arrellah place, , 618 4855740, 449799632, 5, NoRole
rec-82-dup-0, rec-703-org, usa, f, 13, 20070329, , ta la, booker, nsw, eastern heights, 04874, 2 8, stuart street, , 612 9787104, 354397577, 3, NoRole
rec-211-dup-0, rec-640-org, eng, m, 26, 19940311, ms, thomast, preskott, nsw, chittaway bay, 03185, 36, max henry crescent, , 612 1925167, 796537097, 3, NoRole
rec-372-dup-0, rec-318-org, usa, , , 19870213, mr, emma, rojas, nsw, munster, 02195, 3  , pokana circuit, adare stock route road, 612 7621110, 355665455, 7, NoRole
rec-415-org,   rec-459-org, sri, f, 36, 19841129, , joel, leelani?, vic, st andrews beach, 02065, 43, ashkanasy crescent, , 618 8272381, 669052732, 9, NoRole
rec-7-dup-0, rec-996-org, unk, m, , 19220622, , francesco, strahq, qld, molangul, 06062, 39, merv waite street, , 708 6417821, 424214278, 8, NoRole
rec-441-dup-0, rec-80-org, rus, f, 33, , mrs, saara, khamidouline, qld, monkland, 03912, 2, gilbert street, cameroo, 613 2506747, 259907355, 9, Org-wife
rec-212-org,   rec-274-org, rus, f, 23, 19971018, , brodee, kripak, nsw, aylmerton, 03280, 141, mcinnes street, brokenspoke, 612 8903018, 166693479, 8, NoRole
rec-552-dup-1, rec-715-org_h-1, unk, f, 28, 19920115, ms , karolynn, abbondandola, vic , anakie, 04030, 6, makkellaahcrescent, theslipway , 6189115819, 330065307, 9, NoRole
rec-628-dup-0, rec-971-org, unk, f, 2 , 19931011, , ebony, strapp, qld, moura, 03925, 26, barnard circuit, , 613 28 22803, 898972965, 6, NoRole
rec-757-org,   rec-542-org, ira, , 29, 19910914, , aidan, esmaeili, qld, deagon, 02226, 16, atherton street, , 613 9806080, 612418039, 5, NoRole
rec-511-dup-0, rec-954-org, , m, 23, 19970402, ms, lewis, rivers, wa, mount observation, 03929, 1, fincham crescent, , 618 9344269, 171146215, 0, NoRole
rec-178-org,   rec-364-org, unk, m, 26, 19940707, , drew, streckfuss, vic, lindenow south, 03977, 125, captain cook crescent, willaroo, 618 1542809, 707634361, 6, NoRole
rec-450-dup-1, rec-799-org, eng, , 19, 20010830, , tristan, cristianson, nsw, balm in, 07321, 37, florence tay lor street, , , 835050682, 9, NoRole
rec-555-org,   rec-719-org, usa, , 34, 19860107, , darcy, sparks, qld, stratford, 03941, 6, anthony rolfe street, , 613 6474396, 523113716, 7, NoRole
rec-11-dup-0, rec-517-org, ind, f, 19, 20010604, , eldon, felusamy, vic, lakemba, 03219, 4, wybalena grove, , 618 5140338, 671518080, 8, NoRole
rec-828-dup-1, rec-21-org, usa, c, 28, 19920606, , james, lucas, nsw, hastings point, 03135, 394, buller crescent, , 612 3943175, 912556751, 9, NoRole
rec-911-org,   rec-750-org, chi, m, 31, 19891210, ms, charlotte, tou, sa, hyde park, 03072, 2, clive steele avenue, headland cvn park, 617 9857449, 354844262, 8, Org-Household
rec-158-org,   rec-227-org_h-1, ina, m, 34, 19860831, mr , andra, salim, vic, eaglemont, 04171, 5, millerstreet, eastwoodcottage, 6181881291, 250439567, 3, NoRole
rec-186-org,   rec-366-org, chi, f, 29, 19911103, , jasmine, guao, qld, woolooga, 05321, 7, jennings street, , 613 3618456, 894986785, 0, NoRole
rec-398-org,   rec-902-org, wel, f, 27, 19931123, ms, michaela, treffgarne, , vaucluse, 06798, 56, hamblin place, glenora farm, 708 4729131, 495706470, 0, NoRole
rec-582-dup-0, rec-748-org, eng, f, 62, 19980115, , lily, hendry, vic, law courts, 03429, 16, burkitt street, , 618 0806781, 162166936, 6, NoRole
rec-631-dup-0, rec-638-org, usa, f, 42, 19781028, ms, holly, logan, vic, , 02035, 00, namadgi circuit, , 618 9419750, 375416189, 6, NoRole
rec-629-org,   rec-689-org, chi, m, 20, 20000818, , mitchell, mak, nsw, brooweena, 02650, 16, davidson street, , 612 3723718, 925431511, 5, NoRole
rec-770-dup-0, rec-282-org, eng, f, 33, 19870203, , hilton, brinley, nsw, helensburgh, 04132, 371, lappin place, , 612 4452893, 543762247, 7, NoRole
rec-439-org,   rec-174-org, unk, f, 24, 19960616, ms, bridget, streich, qld, wondecla, 03130, , ingamells street, llangollen, 708 0731133, 530694346, 4, NoRole
rec-285-dup-0, rec-9-org_f-0, usa, m, 6, 20|40526, mr , hilliard, fitzgerald, vic, traralgon, 03021, 18 3, hawkesburycrescent, loormeahpark , 6180623088, 291519992, 5, son-y-True
rec-307-org,   rec-950-org, eng, f, 34, 19860930, , jack, mark, sa, yatala vale, 06112, 7, longmore crescent, true rise, 617 7140967, 402558613, 3, NoRole
rec-432-dup-0, rec-59-org_h-0, eng, f, 28, 19920524, mrs , jochebed, clawson, nsw, lordhoweisland, 04680, 8, crjspcircuit, stfrancisvlge, 6129958341, 72034815 , 0, NoRole
rec-994-dup-1, rec-523-org, eng, , 32, 19880217, mr, charlie, snelling, vic, homebush, 05158, 167, dexter street, rowethorpe, 618 2929807, 5473 3 0204, 0, NoRole
rec-400-dup-0, rec-547-org, , f, 29, 19910812, dr, gemaley, hag e, , st ives, 02166, 24, harfordstreet, , 416 1599784, 682039523, 0, NoRole
rec-371-dup-1, rec-250-org, eng, m, 40, 19800301, mr, mickaela, ckay, , adamstown, 04650, 6, olympus way, , 708 0262159, 485391977, 0, NoRole
rec-768-dup-1, rec-472-org, eng, f, 32, 19886018, , lily, morrish, nsw, port hacking, 03125, 11, , concept, 612 7514205, 671321432, 4, NoRole
rec-891-org,   rec-891-org, unk, f, 38, 19821213, , sarah, sciacca, nsw, tumblong, 02121, 209, broadsmith street, , 612 2227343, 400763583, 7, NoRole
rec-716-dup-1, rec-656-org, jap, f, 34, 19860503, , peta, hishikawa, n w, bargo, 0216 , 32, state circle, , 708 7558931, 933735397, 3, NoRole
rec-624-dup-0, rec-186-org, eng, f, 29, , ms, , ibbott, qld, oombabeer, 02 9 2, 48, national circuit, , 613 4124781, 495102203, 4, NoRole
rec-399-dup-0, rec-219-org, chi, f, , 19950810, , dean, sye, vic, lyonville, 02088, 18, buntine ceescent, brentwood vlge, 618 7936904, 132311046, 2, NoRole
rec-838-dup-1, rec-729-org_f-0, chi, m, 9, 20110729, mr, lici, ly, vic , redhill, 03737, 9, pohlmansdreet, kimberley, 2042143799, 850081004, 3, son-y-True
rec-460-org,   rec-466-org, ina, f, 38, 19820618, , april, pudjijono, nsw, yattalunga, 02580, 65, chevalley loop, , 612 3652126, 199628966, 1, NoRole
rec-594-dup-0, rec-2-org, tur, f, , 19350522, mr, asha, orga, wa, safety bay, 04 06, 24, kirkwoodcrescent, , 618 7985173, 890442775, 0, NoRole
rec-966-dup-0, rec-125-org, dut, , , , , joel, saylor, qld, taroomball, 03350, 14, archdall street, , 613 7836034, 770825655, 0, NoRole
rec-368-org,   rec-312-org, unk, f, 30, 19901111, , michelle, strapp, qld, busby, 02913, 34, hickenbotham street, , 613 1999945, 486114870, 4, NoRole
rec-132-org,   rec-234-org, fre, f, 34, , , arabella, coupe, vic, elwood, 06151, 5, kellermann close, biggin hill, 618 5809593, 482609868, 9, NoRole
rec-182-org,   rec-497-org, usa, f, 31, 19890130, ms, kylie, lott, , sunnyside, 02484, 30, bissenberger crescent, , 204 2440724, 861689594, 4, NoRole
rec-814-dup-0, rec-325-org, , f, 6, 20141219, ms, , godfrey, , east inn isfail, 02065, 45, oxley street, headlandcvn park, 416 7304136, 371352588, 2, NoRole
rec-96-org,   rec-379-org, unk, m, , 19211008, mr, dante, abbitt, nsw, tarcutta, 02519, 33, meiklejohn place, boonsville, 612 0749159, 565423492, 1, NoRole
rec-74-dup-0, rec-621-org, jap, f, 35, 19851112, , jackson, koyanagi, nsw, cromer, 02207, 46, springvale drive, , 612 1590374, 842791811, 6, NoRole
rec-588-dup-0, rec-574-org, eng, , 26, , , dominic, jeffers, vic, maco na, 02077, 40, dinesplace, winchester, 708 5012729, 966410291, 2, NoRole
rec-33-org,   rec-826-org, usa, f, 38, 19820724, dr, mitchell, gardner, nsw, clarendon, 02305, 53, degraves crescent, , 612 5602372, 386673401, 1, NoRole
rec-614-org,   rec-29-org, , f, 32, 19880706, , charlotte, curry, tas, devonport, 06160, 82, churchill way, , 617 8372178, 301782180, 0, NoRole
rec-575-dup-0, rec-622-org, chi, f, , 19270616, ms, jade, hsueh, qld, bellara, 05141, 12, skirving place, , 613 5013255, 637664407, 2, NoRole
rec-666-dup-0, rec-913-org, ser, f, 3 , 19900805, , daniel, vasic, qld, coominglah, 03442, 17, groom street, gunadale, 613 424 552, 978309654, 4, NoRole
rec-213-dup-0, rec-470-org, unk, , , 19880722, hon, soe, stratou, vic, south melbourne, 02460, 227, gleadow sttreet, , 618 7771738, 544731103, 1, NoRole
rec-336-org,   rec-930-org_h-0, unk, f, 29, 19910705, ms, sarojini, abbitt, vic, bolton, 03085, 3, sheehanstreet, trellech , 6188709419 , 264902278, 3, NoRole
rec-552-org,   rec-715-org_h-1, unk, f, 28, 19920115, ms , karolynn, abbondandola, vic , anakie, 04030, 6, mackellarcrescent, theslipway , 6189115819, 330065307, 9, NoRole
rec-56-dup-0, rec-63-org, eng, f, , 19900828, , harrison, arden, qld, doondahra, 05097, 44, conder street, st francis vlge, 613 7234502, 419073337, 0, NoRole
rec-367-org,   rec-522-org, ara, , 31, 19890210, mr, zarlia, razia, nsw, fishing point, 02193, 1, maxworthy street, , , 210862540, 5, NoRole
rec-619-org,   rec-883-org, , , 30, 19900825, , erin, white, nsw, backmede, 06084, 180, , , 612 8490270, 680393081, 6, NoRole
rec-676-dup-0, rec-613-org, unk, m, 36, 19840505, , , aaberg, vic, mont a bert, 03041, 14 , bouchard place, , 416 3586185, 507633202, 6, NoRole
rec-289-org,   rec-710-org_f-1, eng, f, 5, 20150709, pfc , ashtoreth, gore, vic , kilcunda, 02560, 85, cradleclose, masonicmemorialvillage, 6181805100, 805563123, 9, daughter-y-True
rec-142-dup-0, rec-213-org, ser, f, , 19320928, mr, arren, radul, wa, daw park, 02192, 81, william hudson crescent, fred lane hostel, 617 8321757, 962177217, 6, NoRole
rec-959-org,   rec-82-org, usa, f, 26, 19940706, hon, alexandra, copeland, , blackbutt, 04730, 6, lewis luxton avenue, , 204 0167925, 142812155, 8, NoRole
rec-36-org,   rec-58-org_f-0, unk, f, 1, 20190526, ms, dagma, aakre, vic, toowong, 03034, 27, hamplace, rowethorpe , 6189709099, 933287426, 0, daughter-y-True
rec-1040-org,   rec-118-org, usa, f, 27, 19930713, , hollie, campbell, vic, fitzroy north, 02575, 8, longworth place, buderim private hsptl diagnostic centre, 618 6229004, 907989213, 4, NoRole
rec-276-dup-0, rec-766-org, swe, f, 2 4, 19960310, ms, benjamin, jarryd, sa, upwey, 03215, 67, boult place, , 708 5125933, 8319 3961, 0, NoRole
rec-595-dup-1, rec-223-org, usa, f, , 19701114, ms, jai, gon ales, , sunshine, 02170, 5, chisholm  treet, , 204 6894231, 645061160, 0, NoRole
rec-902-dup-1, rec-634-org, unk, f, 12, 20080405, mr, peter, sdrap, qld, diddillibah, 02440, 21, kangaroo court, , 613 1559043, 328103472, 4, NoRole
rec-843-org,   rec-515-org, vie, f, 35, 19850403, , reuben, lam, , redhead, 03025, 10, , pine hill, 204 9756105, 467091363, 5, NoRole
rec-75-dup-0, rec-196-org, ser, , 23, 19970817, ms, zortan, greif, nsw, burragate, 06714, 174, spica street, murray glen lodge, 612 0222462, 231812195, 6, NoRole
rec-815-dup-0, rec-22-org, eng, f, 38, 19820520, mr, , mckenna, qld, highton, 03193, 1049, audas place, , , 117329227, 8, NoRole
rec-708-org,   rec-463-org, eng, , 26, 19940722, , tahlia, haward, nsw, hamlyn terrace, 00820, 15, fornax street, newland park, 612 7471782, 679085561, 7, NoRole
rec-425-org,   rec-273-org, ind, f, 29, 19910324, , samantha, trisanu, nsw, owens gap, 03134, 75, mount vernon drive, , 612 8132466, 690551362, 0, NoRole
rec-488-org,   rec-650-org, abo, f, 32, 19881007, , alia, yunipingu, , cooks hill, 02046, 16, wattle street, , 416 4260257, 578579633, 8, NoRole
rec-104-dup-0, rec-641-org, unk, , 28, 19921221, , oakleigh, strazari, wa, napier, 04815, 9, mcginness street, , 618 0668386, 706652363, 0, NoRole
